"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"19","Wednesday 13th November 2019 13:41","273","25614","40450","592","131.56","0","47296.88","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Tuesday 12th November 2019 13:42","137","19905","33985","274","121.76","0","34248","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Sunday 3rd November 2019 13:39","305","18010","28786","398","79.6","0","32188.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Saturday 2nd November 2019 13:47","372","27608","51490","745","119.2","32565","42272.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Wednesday 30th October 2019 13:41","363","13193","19360","388","64.68","136615","22769.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Tuesday 29th October 2019 13:42","302","13281","19667","308","61.6","0","26408.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Sunday 27th October 2019 11:32","627","67634","105359","2790","279","426970","61254.8","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Saturday 26th October 2019 10:31","673","45860","80702","1933","179.8","364098","49491.72","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Friday 25th October 2019 11:00","764","35159","84405","1611","126.36","502503","38366.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Thursday 24th October 2019 09:32","582","33839","57291","1236","130.12","458757","46014.32","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Wednesday 23rd October 2019 09:34","670","28724","55886","1361","126.6","421884","40843.8","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Tuesday 22nd October 2019 09:31","673","30482","52056","1587","144.28","193785","40049.92","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Sunday 20th October 2019 16:47","87","4972","9866","185","29.6","101958","14804","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Saturday 19th October 2019 15:07","142","31433","43546","394","175.12","140446","55805.76","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Saturday 19th October 2019 13:50","69","21222","28956","71","94.68","39208","27678.68","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Monday 14th October 2019 13:42","242","32631","56416","962","240.52","220949","49391.24","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Sunday 13th October 2019 13:42","422","17300","28494","659","94.16","175549","18785.56","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Saturday 12th October 2019 16:43","181","8552","14751","111","40.36","50761","15935.64","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Friday 11th October 2019 13:42","332","16861","29781","515","93.64","97126","27907.8","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Tuesday 8th October 2019 09:46","538","27541","44538","930","106.28","327928","37477.48","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Monday 7th October 2019 19:52","352","9591","18818","385","66.96","90262","15297.56","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Monday 7th October 2019 16:51","53","1399","1651","10","13.32","10466","5785.32","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Monday 7th October 2019 09:45","314","21051","30582","551","104.96","180081","31416","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Sunday 6th October 2019 08:46","703","39110","78670","2395","208.28","569690","49538.28","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Sunday 6th October 2019 03:43","286","6898","11032","214","45.04","75696","13428.44","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"44","Saturday 5th October 2019 08:56","558","30231","63345","1665","180","481133","50670.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Saturday 5th October 2019 03:45","269","5728","10840","229","53.88","59011","12147.04","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Monday 30th September 2019 21:40","319","3374","5152","177","33.72","28310","5273.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Sunday 29th September 2019 15:59","135","1426","1920","-12","-6","16131","8065.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"48","Sunday 29th September 2019 15:45","14","582","582","0","0","6956","0","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
