"DateTime","Players","Flags","Twitch Viewers"
"2019-07-24 00:00:00",3161,,2877
"2019-07-25 00:00:00",3044,,2520
"2019-07-26 00:00:00",3082,,15729
"2019-07-27 00:00:00",3353,,18148
"2019-07-28 00:00:00",3817,,20205
"2019-07-29 00:00:00",3547,,3166
"2019-07-30 00:00:00",3387,,4149
"2019-07-31 00:00:00",3452,,3081
"2019-08-01 00:00:00",3548,,4997
"2019-08-02 00:00:00",3742,,2044
"2019-08-03 00:00:00",3946,,1238
"2019-08-04 00:00:00",4475,,1252
"2019-08-05 00:00:00",4111,,1903
"2019-08-06 00:00:00",4077,,2363
"2019-08-07 00:00:00",4139,,2481
"2019-08-08 00:00:00",4040,,3142
"2019-08-09 00:00:00",3857,,2968
"2019-08-10 00:00:00",4123,,2187
"2019-08-11 00:00:00",4328,,2107
"2019-08-12 00:00:00",4166,,2859
"2019-08-13 00:00:00",4157,,2436
"2019-08-14 00:00:00",3366,,1993
"2019-08-15 00:00:00",4026,,3120
"2019-08-16 00:00:00",3914,,2272
"2019-08-17 00:00:00",4305,,3266
"2019-08-18 00:00:00",4915,,2320
"2019-08-19 00:00:00",3886,,1606
"2019-08-20 00:00:00",3505,,2144
"2019-08-21 00:00:00",7779,,21272
"2019-08-22 00:00:00",9409,,33956
"2019-08-23 00:00:00",9489,,25824
"2019-08-24 00:00:00",10205,,9668
"2019-08-25 00:00:00",11518,,13551
"2019-08-26 00:00:00",8822,,21742
"2019-08-27 00:00:00",10709,,15051
"2019-08-28 00:00:00",10692,,11666
"2019-08-29 00:00:00",10420,,9516
"2019-08-30 00:00:00",10532,,8753
"2019-08-31 00:00:00",11900,,22455
"2019-09-01 00:00:00",13165,,36142
"2019-09-02 00:00:00",13498,,9546
"2019-09-03 00:00:00",10653,,8473
"2019-09-04 00:00:00",10337,,24067
"2019-09-05 00:00:00",10048,,24150
"2019-09-06 00:00:00",9680,,19946
"2019-09-07 00:00:00",11067,,23017
"2019-09-08 00:00:00",11850,,13818
"2019-09-09 00:00:00",9677,,10321
"2019-09-10 00:00:00",8975,,6821
"2019-09-11 00:00:00",8728,,8006
"2019-09-12 00:00:00",8740,,4262
"2019-09-13 00:00:00",7976,,2881
"2019-09-14 00:00:00",8697,,1858
"2019-09-15 00:00:00",9570,,4037
"2019-09-16 00:00:00",8136,,3416
"2019-09-17 00:00:00",7365,,3267
"2019-09-18 00:00:00",7527,,2595
"2019-09-19 00:00:00",6958,,3265
"2019-09-20 00:00:00",7297,,46580
"2019-09-21 00:00:00",7475,,1715
"2019-09-22 00:00:00",8274,,2767
"2019-09-23 00:00:00",7098,,3537
"2019-09-24 00:00:00",7068,,2276
"2019-09-25 00:00:00",7076,,1972
"2019-09-26 00:00:00",6681,,41247
"2019-09-27 00:00:00",6991,,1502
"2019-09-28 00:00:00",7862,,2690
"2019-09-29 00:00:00",8637,,10769
"2019-09-30 00:00:00",7470,,3649
"2019-10-01 00:00:00",7000,,1768
"2019-10-02 00:00:00",6698,,2496
"2019-10-03 00:00:00",6830,,1845
"2019-10-04 00:00:00",6688,,1639
"2019-10-05 00:00:00",7088,,3332
"2019-10-06 00:00:00",7744,,1913
"2019-10-07 00:00:00",6515,,1896
"2019-10-08 00:00:00",6453,,2556
"2019-10-09 00:00:00",6075,,2147
"2019-10-10 00:00:00",6044,,1924
"2019-10-11 00:00:00",6177,,1664
"2019-10-12 00:00:00",6614,,1182
"2019-10-13 00:00:00",7191,,1455
"2019-10-14 00:00:00",6294,,3958
"2019-10-15 00:00:00",5803,,3495
"2019-10-16 00:00:00",5646,,1542
"2019-10-17 00:00:00",6290,,1433
"2019-10-18 00:00:00",6630,,1755
"2019-10-19 00:00:00",6733,,1329
"2019-10-20 00:00:00",7179,,1813
"2019-10-21 00:00:00",6012,,4087
"2019-10-22 00:00:00",5924,,1612
"2019-10-23 00:00:00",5428,,2009
"2019-10-24 00:00:00",5495,,3340
"2019-10-25 00:00:00",5564,,1059
"2019-10-26 00:00:00",5720,,1321
"2019-10-27 00:00:00",5917,,1232
"2019-10-28 00:00:00",4426,,1239
"2019-10-29 00:00:00",5088,,1179
"2019-10-30 00:00:00",4900,,810
"2019-10-31 00:00:00",4502,,1812
"2019-11-01 00:00:00",5162,,1077
"2019-11-02 00:00:00",5497,,606
"2019-11-03 00:00:00",5903,,830
"2019-11-04 00:00:00",5145,,1014
"2019-11-05 00:00:00",4527,,1298
"2019-11-06 00:00:00",4443,,567
"2019-11-07 00:00:00",4469,,1208
"2019-11-08 00:00:00",4593,,1032
"2019-11-09 00:00:00",4693,,647
"2019-11-10 00:00:00",5300,,713
"2019-11-11 00:00:00",4743,,969
"2019-11-12 00:00:00",4311,,765
"2019-11-13 00:00:00",4350,,815
"2019-11-14 00:00:00",4178,,1579
"2019-11-15 00:00:00",4373,,678
"2019-11-16 00:00:00",4459,,3135
"2019-11-17 00:00:00",4992,,1803
"2019-11-18 00:00:00",4284,,1038
"2019-11-19 00:00:00",4401,,640
"2019-11-20 00:00:00",4425,,988
"2019-11-21 00:00:00",4401,,1515
"2019-11-22 00:00:00",4629,,767
"2019-11-23 00:00:00",4921,,907
"2019-11-24 00:00:00",5598,,1233
"2019-11-25 00:00:00",4819,,1036
"2019-11-26 00:00:00",4699,,1024
"2019-11-27 00:00:00",4672,,937
"2019-11-28 00:00:00",4889,,1263
"2019-11-29 00:00:00",4963,,1271
"2019-11-30 00:00:00",5444,,2008
"2019-12-01 00:00:00",6279,,1188
"2019-12-02 00:00:00",5361,,1936
"2019-12-03 00:00:00",4864,,759
"2019-12-04 00:00:00",4681,,879
"2019-12-05 00:00:00",6268,,2893
"2019-12-06 00:00:00",6185,,1151
"2019-12-07 00:00:00",6010,,2838
"2019-12-08 00:00:00",7218,,2334
"2019-12-09 00:00:00",6156,,1822
"2019-12-10 00:00:00",5932,,887
"2019-12-11 00:00:00",5639,,1374
"2019-12-12 00:00:00",6423,,1489
"2019-12-13 00:00:00",10721,,2902
"2019-12-14 00:00:00",13033,,1536
"2019-12-15 00:00:00",12929,,4412
"2019-12-16 00:00:00",7943,,1709
"2019-12-17 00:00:00",6836,,1507
"2019-12-18 00:00:00",6581,,2857
"2019-12-19 00:00:00",6629,,1235
"2019-12-20 00:00:00",6645,,1354
"2019-12-21 00:00:00",6972,,3211
"2019-12-22 00:00:00",7635,,1292
"2019-12-23 00:00:00",6992,,3921
"2019-12-24 00:00:00",5096,,3300
"2019-12-25 00:00:00",6499,,1337
"2019-12-26 00:00:00",7070,,1528
"2019-12-27 00:00:00",7576,,7089
"2019-12-28 00:00:00",7979,,4870
"2019-12-29 00:00:00",8616,,4891
"2019-12-30 00:00:00",8186,,6018
"2019-12-31 00:00:00",6162,,1017
"2020-01-01 00:00:00",8507,,8845
"2020-01-02 00:00:00",8412,,9576
"2020-01-03 00:00:00",8369,,1435
"2020-01-04 00:00:00",9065,,2236
"2020-01-05 00:00:00",8893,,1672
"2020-01-06 00:00:00",7638,,6332
"2020-01-07 00:00:00",7274,,2693
"2020-01-08 00:00:00",7023,,1771
"2020-01-09 00:00:00",6932,,4000
"2020-01-10 00:00:00",7280,,2977
"2020-01-11 00:00:00",8026,,2811
"2020-01-12 00:00:00",8175,,1844
"2020-01-13 00:00:00",6860,,4367
"2020-01-14 00:00:00",6611,,1444
"2020-01-15 00:00:00",6376,,1648
"2020-01-16 00:00:00",6496,,3780
"2020-01-17 00:00:00",6951,,5768
"2020-01-18 00:00:00",7538,,3197
"2020-01-19 00:00:00",8371,,2269
"2020-01-20 00:00:00",7190,,1952
"2020-01-21 00:00:00",6623,,1784
"2020-01-22 00:00:00",6525,,1944
"2020-01-23 00:00:00",6727,,2107
"2020-01-24 00:00:00",7182,,2751
"2020-01-25 00:00:00",7976,,2203
"2020-01-26 00:00:00",8642,,17948
"2020-01-27 00:00:00",7480,,2147
"2020-01-28 00:00:00",7395,,2181
"2020-01-29 00:00:00",6972,,2242
"2020-01-30 00:00:00",7158,,3243
"2020-01-31 00:00:00",7264,,2135
"2020-02-01 00:00:00",7919,,2524
"2020-02-02 00:00:00",8550,,6312
"2020-02-03 00:00:00",6898,,2715
"2020-02-04 00:00:00",6855,,2736
"2020-02-05 00:00:00",6864,,2808
"2020-02-06 00:00:00",6616,,1770
"2020-02-07 00:00:00",7061,,1610
"2020-02-08 00:00:00",7823,,4351
"2020-02-09 00:00:00",8213,,1947
"2020-02-10 00:00:00",7130,,3794
"2020-02-11 00:00:00",6568,,6186
"2020-02-12 00:00:00",6392,,3072
"2020-02-13 00:00:00",6650,,6152
"2020-02-14 00:00:00",6892,,4298
"2020-02-15 00:00:00",8096,,2166
"2020-02-16 00:00:00",8665,,12026
"2020-02-17 00:00:00",7710,,2055
"2020-02-18 00:00:00",7172,,4842
"2020-02-19 00:00:00",7124,,3483
"2020-02-20 00:00:00",7292,,2857
"2020-02-21 00:00:00",8691,,3411
"2020-02-22 00:00:00",10360,,3455
"2020-02-23 00:00:00",12181,,3009
"2020-02-24 00:00:00",10614,,2659
"2020-02-25 00:00:00",10906,,3576
"2020-02-26 00:00:00",10428,,3808
"2020-02-27 00:00:00",10466,,3465
"2020-02-28 00:00:00",10662,,4438
"2020-02-29 00:00:00",12428,,2952
"2020-03-01 00:00:00",12946,,2448
"2020-03-02 00:00:00",11350,,3618
"2020-03-03 00:00:00",10684,,4298
"2020-03-04 00:00:00",10104,,4348
"2020-03-05 00:00:00",9839,,3326
"2020-03-06 00:00:00",10047,,8198
"2020-03-07 00:00:00",10877,,6655
"2020-03-08 00:00:00",11573,,3429
"2020-03-09 00:00:00",10242,,4553
"2020-03-10 00:00:00",9038,,4401
"2020-03-11 00:00:00",8333,,2735
"2020-03-12 00:00:00",8515,,2582
"2020-03-13 00:00:00",8785,,2268
"2020-03-14 00:00:00",9464,,3097
"2020-03-15 00:00:00",9419,,2438
"2020-03-16 00:00:00",8931,,2291
"2020-03-17 00:00:00",8818,,4909
"2020-03-18 00:00:00",8829,,3669
"2020-03-19 00:00:00",8619,,4088
"2020-03-20 00:00:00",8971,,2319
"2020-03-21 00:00:00",9280,,3540
"2020-03-22 00:00:00",8960,,2332
"2020-03-23 00:00:00",8395,,2490
"2020-03-24 00:00:00",8041,,2870
"2020-03-25 00:00:00",8122,,2033
"2020-03-26 00:00:00",7736,,3402
"2020-03-27 00:00:00",8466,,2858
"2020-03-28 00:00:00",8759,,5289
"2020-03-29 00:00:00",8619,,4608
"2020-03-30 00:00:00",7784,,2568
"2020-03-31 00:00:00",7675,,2141
"2020-04-01 00:00:00",7859,,1948
"2020-04-02 00:00:00",8461,,2676
"2020-04-03 00:00:00",8911,,1701
"2020-04-04 00:00:00",9457,,2550
"2020-04-05 00:00:00",9465,,2277
"2020-04-06 00:00:00",9028,,2452
"2020-04-07 00:00:00",8777,,2343
"2020-04-08 00:00:00",8997,,3463
"2020-04-09 00:00:00",9574,,1942
"2020-04-10 00:00:00",9750,,2177
"2020-04-11 00:00:00",9761,,1805
"2020-04-12 00:00:00",10074,,1979
"2020-04-13 00:00:00",9416,,2404
"2020-04-14 00:00:00",12778,,3060
"2020-04-15 00:00:00",11044,,2754
"2020-04-16 00:00:00",9856,,2750
"2020-04-17 00:00:00",10932,,3571
"2020-04-18 00:00:00",11174,,2726
"2020-04-19 00:00:00",10546,,2425
"2020-04-20 00:00:00",9670,,3432
"2020-04-21 00:00:00",9697,,3396
"2020-04-22 00:00:00",9437,,2314
"2020-04-23 00:00:00",9149,,3960
"2020-04-24 00:00:00",9559,,2687
"2020-04-25 00:00:00",9691,,2275
"2020-04-26 00:00:00",9451,,2253
"2020-04-27 00:00:00",8606,,2036
"2020-04-28 00:00:00",8675,,2500
"2020-04-29 00:00:00",8637,,20885
"2020-04-30 00:00:00",8874,,4458
"2020-05-01 00:00:00",8774,,2304
"2020-05-02 00:00:00",9117,,1924
"2020-05-03 00:00:00",9105,,15914
"2020-05-04 00:00:00",8447,,3448
"2020-05-05 00:00:00",8326,,1899
"2020-05-06 00:00:00",8387,,13507
"2020-05-07 00:00:00",8310,,3312
"2020-05-08 00:00:00",8422,,3535
"2020-05-09 00:00:00",8839,,4166
"2020-05-10 00:00:00",8571,,3478
"2020-05-11 00:00:00",8608,,3215
"2020-05-12 00:00:00",8175,,2416
"2020-05-13 00:00:00",8397,,2624
"2020-05-14 00:00:00",8330,,3486
"2020-05-15 00:00:00",8433,,4109
"2020-05-16 00:00:00",8317,,2029
"2020-05-17 00:00:00",8538,,2279
"2020-05-18 00:00:00",8120,,2846
"2020-05-19 00:00:00",8128,,4284
"2020-05-20 00:00:00",9004,,3711
"2020-05-21 00:00:00",8798,,3199
"2020-05-22 00:00:00",9752,,1842
"2020-05-23 00:00:00",10293,,2223
"2020-05-24 00:00:00",10680,,2543
"2020-05-25 00:00:00",10863,,3814
"2020-05-26 00:00:00",9503,,2257
"2020-05-27 00:00:00",9637,,2281
"2020-05-28 00:00:00",9540,,2174
"2020-05-29 00:00:00",9681,,2543
"2020-05-30 00:00:00",10286,,2100
"2020-05-31 00:00:00",10803,,2335
"2020-06-01 00:00:00",9799,,3548
"2020-06-02 00:00:00",9360,,2893
"2020-06-03 00:00:00",9156,,2201
"2020-06-04 00:00:00",9102,,3389
"2020-06-05 00:00:00",9121,,2734
"2020-06-06 00:00:00",9050,,2607
"2020-06-07 00:00:00",9483,,2333
"2020-06-08 00:00:00",8325,,4179
"2020-06-09 00:00:00",9734,,2818
"2020-06-10 00:00:00",9195,,5603
"2020-06-11 00:00:00",9201,,3227
"2020-06-12 00:00:00",8731,,2176
"2020-06-13 00:00:00",8754,,3891
"2020-06-14 00:00:00",9586,,3910
"2020-06-15 00:00:00",8716,,4524
"2020-06-16 00:00:00",8199,,2961
"2020-06-17 00:00:00",7931,,5617
"2020-06-18 00:00:00",8119,,4280
"2020-06-19 00:00:00",7506,,5526
"2020-06-20 00:00:00",7692,,1834
"2020-06-21 00:00:00",8346,,2946
"2020-06-22 00:00:00",8014,,4007
"2020-06-23 00:00:00",7539,,3430
"2020-06-24 00:00:00",7505,,2795
"2020-06-25 00:00:00",9743,,3629
"2020-06-26 00:00:00",9665,,4184
"2020-06-27 00:00:00",9764,,3247
"2020-06-28 00:00:00",11080,,27881
"2020-06-29 00:00:00",12095,,38741
"2020-06-30 00:00:00",12862,,51365
"2020-07-01 00:00:00",12675,,47121
"2020-07-02 00:00:00",12858,,43648
"2020-07-03 00:00:00",13121,,41415
"2020-07-04 00:00:00",12352,,41142
"2020-07-05 00:00:00",14200,,52583
"2020-07-06 00:00:00",13111,,37280
"2020-07-07 00:00:00",11677,,6113
"2020-07-08 00:00:00",11537,,14481
"2020-07-09 00:00:00",11097,,5187
"2020-07-10 00:00:00",11151,,5571
"2020-07-11 00:00:00",10896,,6416
"2020-07-12 00:00:00",11379,,4652
"2020-07-13 00:00:00",10148,,3343
"2020-07-14 00:00:00",9996,,4915
"2020-07-15 00:00:00",9645,,12661
"2020-07-16 00:00:00",9372,,3685
"2020-07-17 00:00:00",9335,,3264
"2020-07-18 00:00:00",9531,,4266
"2020-07-19 00:00:00",10279,,3121
"2020-07-20 00:00:00",9558,,4576
"2020-07-21 00:00:00",9179,,4478
"2020-07-22 00:00:00",8767,,5316
"2020-07-23 00:00:00",8621,,4454
"2020-07-24 00:00:00",8850,,3943
"2020-07-25 00:00:00",8970,,4184
"2020-07-26 00:00:00",9801,,2715
"2020-07-27 00:00:00",8984,,3740
"2020-07-28 00:00:00",8811,,4845
"2020-07-29 00:00:00",8665,,4925
"2020-07-30 00:00:00",8480,,3722
"2020-07-31 00:00:00",8182,,2490
"2020-08-01 00:00:00",8567,,4993
"2020-08-02 00:00:00",9526,,16984
"2020-08-03 00:00:00",9182,,4578
"2020-08-04 00:00:00",9401,,3946
"2020-08-05 00:00:00",8784,,2840
