"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"44","Monday 11th November 2019 21:17","777","19893","37021","5638","442.2","581423","45431.76","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Sunday 10th November 2019 19:30","569","17451","22902","834","87.8","136714","13930.96","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Saturday 9th November 2019 21:42","347","13547","18296","239","41.56","73041","11663.12","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Friday 8th November 2019 19:31","598","12911","18616","477","47.72","103410","10341","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"48","Thursday 7th November 2019 21:57","527","12968","15968","300","34.28","86150","9718.84","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"49","Wednesday 6th November 2019 22:41","543","15009","18043","1146","127.32","113364","12136","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|LAMO: The Game|LaMo_The_Game|https://static-cdn.jtvnw.net/ttv-boxart/./LAMO:%20The%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Monday 4th November 2019 20:43","601","19246","27739","890","89","1855","12722.8","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Sunday 3rd November 2019 20:48","521","15673","19189","727","85.52","121341","13903.16","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Saturday 2nd November 2019 21:45","269","14711","18143","420","93.32","66483","14774","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"53","Friday 1st November 2019 20:17","492","13604","19193","656","82","100462","12557.76","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"54","Thursday 31st October 2019 17:43","541","17083","21711","808","92.36","154299","17634.16","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"55","Wednesday 30th October 2019 19:32","657","22833","28670","3706","344.76","213774","19322.24","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"56","Tuesday 29th October 2019 19:51","638","18203","23772","2262","215.44","196853","18250.56","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"57","Monday 28th October 2019 19:30","644","16789","24000","1711","159.16","169751","15790.8","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"58","Sunday 27th October 2019 20:37","682","20524","28465","2506","222.76","208662","18239.12","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"59","Saturday 26th October 2019 19:00","719","24942","33037","4419","376.08","283129","24096.08","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"60","Friday 25th October 2019 22:08","561","20056","27791","2682","289.96","228176","22809.2","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"61","Friday 25th October 2019 20:00","119","10424","11962","50","25","38072","14480","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"62","Wednesday 23rd October 2019 23:42","407","18281","23509","782","115.84","98783","14634.52","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
